200c87a0 %
7f53bf8d BonusMovementSpeedPercent
798f5750 BonusMsIncrease
7da8363b BonusMultiplier
8bdcd88d BonusOmnivamp
e8a92ff4 BonusOmnivamp1
54118771 BonusOmnivamp1Postfix
61fc3070 BonusOmnivamp1Prefix
eba934ad BonusOmnivamp2
2cecd12a BonusOmnivamp2Postfix
a91b2cb1 BonusOmnivamp2Prefix
dcb6ea6f BonusOmnivampNL
a52207af BonusOnHitDamage
58642b4e BonusPassiveRange
af62d4fa BonusPenFromMythics
a40c37cb BonusPerLevel
2b2efcbb BonusPerNearbyChampion
cfdc47bd BonusPerStack
b44c0eed BonusPercent
8bd55898 BonusPercentDamage
ec346a36 BonusPercentDamage.0
3f83834b BonusPercentDamage.0_
865c4711 BonusPercentMax
786fb8bf BonusPercentMin
7169600 BonusPoisonedDamage
e261ca32 BonusRadiusAroundPrimaryTarget
c712be9 BonusRange
d04ae9af BonusRatio
c4c671c7 BonusRatioMax
28d45b77 BonusRerolls
826927f6 BonusResist
2dadc088 BonusResistMax
43c16ae2 BonusResistMin
a5d97e56 BonusResistPercentage
861cdd9e BonusResistances
ce70fa7d BonusResistances1
24209dda BonusResistances1Postfix
e955c561 BonusResistances1Prefix
cb70f5c4 BonusResistances2
ba8cd4e1 BonusResistances2Postfix
1c007b60 BonusResistances2Prefix
cc70f757 BonusResistances3
2f57f6bc BonusResistances3Postfix
8b47ec4b BonusResistances3Prefix
b7b47f4 BonusResistancesNL
d089365f BonusResists
5454fa77 BonusResistsMax
4269f8d9 BonusResistsMin
d5935805 BonusShield
6af3d9dc BonusShield1
3c62f1b9 BonusShield1Postfix
88a394d8 BonusShield1Prefix
6df3de95 BonusShield2
7c8f1712 BonusShield2Postfix
5d1dc439 BonusShield2Prefix
6cf3dd02 BonusShield3
5e64ba3f BonusShield3Postfix
bd7a5886 BonusShield3Prefix
1067bda7 BonusShieldNL
ac49e96b BonusShieldWithAllies
68a052d1 BonusSlowPerWave
194c7b3a BonusStatMod
38cdaa62 BonusStatsFalloffTime
c3fb149a BonusTargets
8be0104d BonusTrailAD
adb9f334 BonusTrailAD1
8bf4ddb1 BonusTrailAD1Postfix
6d033fb0 BonusTrailAD1Prefix
b0b9f7ed BonusTrailAD2
f3ac0e6a BonusTrailAD2Postfix
5bb16cf1 BonusTrailAD2Prefix
afb9f65a BonusTrailAD3
352b3c17 BonusTrailAD3Postfix
2f9db19e BonusTrailAD3Prefix
aab9ee7b BonusTrailAD4
1eb1da30 BonusTrailAD4Postfix
3e46518f BonusTrailAD4Prefix
a9b9ece8 BonusTrailAD5
c1fbdd45 BonusTrailAD5Postfix
4bc5d504 BonusTrailAD5Prefix
d4dddd2f BonusTrailADNL
a1b687b5 BonusTrueDamage
165754cc BonusTrueDamage1
1f9c6209 BonusTrueDamage1Postfix
15c583a8 BonusTrueDamage1Prefix
19575985 BonusTrueDamage2
57f20a62 BonusTrueDamage2Postfix
69eabf89 BonusTrueDamage2Prefix
185757f2 BonusTrueDamage3
3627cf4f BonusTrueDamage3Postfix
c5b0b956 BonusTrueDamage3Prefix
ce51f757 BonusTrueDamageNL
7457fb7f Bonus_Attack_Range
6d035af7 BonustoAllies
3598e04f BootsMSBuff
fd7be5e2 BootsStarterSellValue
bccb392d BossDamage
4feae714 BossDamage1
7ac43411 BossDamage1Postfix
7e36ed90 BossDamage1Prefix
52eaebcd BossDamage2
7dff23ca BossDamage2Postfix
2ff268d1 BossDamage2Prefix
51eaea3a BossDamage3
6984c577 BossDamage3Postfix
170cb77e BossDamage3Prefix
4929cd0f BossDamageNL
fe6a10a7 BossThornsPeriod
79120f05 BossThornsPeriodNL
b728209c BothHandsDamageCalc
30fca063 BounceADRatio
6fb06116 BounceADRatio1
a578d403 BounceADRatio1Postfix
ad9b56a BounceADRatio1Prefix
6eb05f83 BounceADRatio2
459b19f8 BounceADRatio2Postfix
f8b01697 BounceADRatio2Prefix
6db05df0 BounceADRatio3
340acccd BounceADRatio3Postfix
7160056c BounceADRatio3Prefix
74b068f5 BounceADRatio4
4fa978f2 BounceADRatio4Postfix
321c1e99 BounceADRatio4Prefix
73b06762 BounceADRatio5
3180af1f BounceADRatio5Postfix
abc567e6 BounceADRatio5Prefix
4dfd4681 BounceADRatioNL
9807c016 BounceAPRatioTooltip
a0437862 BounceAttacks
3b30a1bc BounceCount
2153cc23 BounceCounterMax
f2018e54 BounceCriticalMod
db634ca8 BounceDamage
f65194db BounceDamage1
2a4d1210 BounceDamage1Postfix
ea1fcfef BounceDamage1Prefix
f751966e BounceDamage2
a871349b BounceDamage2Postfix
1e1f2862 BounceDamage2Prefix
f8519801 BounceDamage3
becb50be BounceDamage3Postfix
e2f4f835 BounceDamage3Prefix
77dd1e7a BounceDamageNL
26c3d9e0 BounceDelay
521311f2 BounceOffset
c7878a1b BounceRadius
4f81eb80 BounceRadiusLargeUnit
34c7de33 BounceRadiusQLargeUnit
a9ccb19f BounceRadiusQSmallUnit
bed6994a BounceRange
cadd2ffa BounceRangeCheck
a7666fac BounceRatio
82f82831 BounceRatioScaling
914ad59a BounceScaling
337a0cca Bounces
4226f21 Bounces1
f536b15e Bounces1Postfix
30e3e755 Bounces1Prefix
1226a68 Bounces2
ae08e9c5 Bounces2Postfix
ccfe6684 Bounces2Prefix
2226bfb Bounces3
abee6b0 Bounces3Postfix
bf7ee30f Bounces3Prefix
cc5d76c0 BouncesNL
a6903091 BouncesPerPotential
d87af493 BouncesPerPotentialNL
f1246716 BoundaryCheckRange
de06642a BountyInformTime
ba83bc27 BountyValue
b261150f BountyValue2
e1d4c645 BoxArmTime
3e192121 BoxBaseDamage_Jade
d18f0c30 BoxBaseDamage_Jade1
ced6bd0d BoxBaseDamage_Jade1Postfix
29ea8cac BoxBaseDamage_Jade1Prefix
d48f10e9 BoxBaseDamage_Jade2
e5800326 BoxBaseDamage_Jade2Postfix
a471b3dd BoxBaseDamage_Jade2Prefix
d38f0f56 BoxBaseDamage_Jade3
78e14443 BoxBaseDamage_Jade3Postfix
5cf5e3aa BoxBaseDamage_Jade3Prefix
d68f140f BoxBaseDamage_Jade4
47094bb4 BoxBaseDamage_Jade4Postfix
33e2a883 BoxBaseDamage_Jade4Prefix
d58f127c BoxBaseDamage_Jade5
aa4ad6d9 BoxBaseDamage_Jade5Postfix
82eec78 BoxBaseDamage_Jade5Prefix
42cc0a23 BoxBaseDamage_JadeNL
f140237c BoxFearDuration
a1339d21 BoxLifetime
77ed806c BoxTotalDamage_Jade
f92e8966 BraumArmorPercent
f0a38cb BrawlBonusStacks
799945c4 BreakDamageBase
614920af BreakDamageBase1
bbc5acd4 BreakDamageBase1Postfix
9f76d923 BreakDamageBase1Prefix
62492242 BreakDamageBase2
e850c37f BreakDamageBase2Postfix
ebacd0c6 BreakDamageBase2Prefix
634923d5 BreakDamageBase3
61ac3352 BreakDamageBase3Postfix
72038779 BreakDamageBase3Prefix
6651af6 BreakDamageBaseNL
4217d8b4 BreakDamageTooltip
c5574d75 BreakoutHealthThreshold
51be670d Breakpoint1
79c06913 BreathDuration
2ac38026 BriarAoEBooster
68c2a435 BriarAoEBooster1
e157ec32 BriarAoEBooster1Postfix
7de63ed9 BriarAoEBooster1Prefix
41e1b4dc BriarAoEBoosterNL
3a10410b BrittleDuration
f474918c BrittleDurationTOOLTIPONLY
d40d08ff BrittlePercentMaxHPCalc
f2cc87db BrushAttackTotal
c65391c6 BrushCooldown
bb917390 BrushLinger
dc072121 BrushRadius
72e08f9e BrushSlowAmount
cf398c8 BrushSpacing
35ffd144 BrushStackBonus
1d299e9c BubbleBlueDmgRed
483650ab BubbleDuration
9ee3fc78 BubblePurpleMagicDmg
bdd28d8d BubbleRadius
9024591a BuddyCost
22a8c9b0 BuffCounterDuration
7d5a2767 BuffCounterPerKill
49394377 BuffDetectDuration
d955a324 BuffDuration
36cfba0f BuffDuration1
140db4 BuffDuration1Postfix
50ee1e83 BuffDuration1Prefix
37cfbba2 BuffDuration2
c201125f BuffDuration2Postfix
fede8026 BuffDuration2Prefix
38cfbd35 BuffDuration3
e02b6f32 BuffDuration3Postfix
cac28fd9 BuffDuration3Prefix
31cfb230 BuffDuration4
87e17f0d BuffDuration4Postfix
46f602ac BuffDuration4Prefix
32cfb3c3 BuffDuration5
fe890b38 BuffDuration5Postfix
67d627d7 BuffDuration5Prefix
1bf33690 BuffDurationMelee
ca849356 BuffDurationNL
264a5249 BuffDurationRange
5ee1117c BuffDurationSplit
fce9cd1f BuffDuration_unused
d281b971 BuffExtension
8cdeac15 BuffModifierDescriptionAppend
c68ae592 BuffRadius
cf42ded5 BuffStrength
6d5cb6c0 BuffVamp
ea2cc6a9 Buff_Duration
6888e17a Buffer_Dash_Distance
62ba9253 Buffer_Dash_Forgiveness_Window
495d8d4b Buffer_Dash_Min_Distance
35286cbc Buffer_Dash_Time
1741699d Buffer_Dash_W_Forgiveness_Window
14a6174f Buffer_Dash_Wall_Forgiveness
c2b0fd6 BuildupEndDamageMultMax
1e17a474 BuildupEndDamageMultMin
1780ba0a BuildupEndTime
78f2494b BuildupProcCooldown
6cc96955 BuildupStartDamageMult
5f631daf BuildupStartTime
f91a1664 BuildupVisualThresholdLarge
72c6aa49 BuildupVisualThresholdMed
40f2d5b5 BulletADDamage
c2461ecc BulletADDamage1
95547009 BulletADDamage1Postfix
c7edfda8 BulletADDamage1Prefix
c5462385 BulletADDamage2
cdaa1862 BulletADDamage2Postfix
1c133989 BulletADDamage2Prefix
c44621f2 BulletADDamage3
abdfdd4f BulletADDamage3Postfix
77d93356 BulletADDamage3Prefix
7739f557 BulletADDamageNL
9ad61e95 BulletBaseDamage
63123c2c BulletBaseDamage1
8b9d2ae9 BulletBaseDamage1Postfix
a459b508 BulletBaseDamage1Prefix
661240e5 BulletBaseDamage2
2f2be342 BulletBaseDamage2Postfix
a28564e9 BulletBaseDamage2Prefix
65123f52 BulletBaseDamage3
4971ee2f BulletBaseDamage3Postfix
6d919fb6 BulletBaseDamage3Prefix
388c9837 BulletBaseDamageNL
8db35c18 BulletDamageADRatio
3a5a148b BulletDamageADRatio1
2d299920 BulletDamageADRatio1Postfix
361e12ff BulletDamageADRatio1Prefix
3b5a161e BulletDamageADRatio2
d78b39ab BulletDamageADRatio2Postfix
a28c4032 BulletDamageADRatio2Prefix
3c5a17b1 BulletDamageADRatio3
fe90b88e BulletDamageADRatio3Postfix
ac620605 BulletDamageADRatio3Prefix
c18d08ea BulletDamageADRatioNL
ce3b167b BulwarkDuration
f9516172 BulwarkResists
5656486f BulwarkResistsPerAdditionalChampion
e9921416 BurnAmp
82cb04b9 BurnDamage
6d982218 BurnDamage1
ca90f855 BurnDamage1Postfix
37a6e554 BurnDamage1Prefix
709826d1 BurnDamage2
3e71572e BurnDamage2Postfix
ca8bbb25 BurnDamage2Prefix
6f98253e BurnDamage3
89725d4b BurnDamage3Postfix
96efba52 BurnDamage3Prefix
92a3fc4d BurnDamageMax
7c9051f3 BurnDamageMin
fd40e15b BurnDamageNL
b8f709b9 BurnDamagePerSecondCalc
e1574e54 BurnDamageTooltip
97e52ce8 BurnDuration
34c3d9fd BurnFlatDamagePerSecond
d4dc1f82 BurnLingerTime
b6ec5b3 BurnPatchDamage
57706a69 BurnPercent
fdf76888 BurnPercent1
8826d865 BurnPercent1Postfix
2dc150a4 BurnPercent1Prefix
f76d41 BurnPercent2
d2afe1fe BurnPercent2Postfix
4ea13475 BurnPercent2Prefix
fff76bae BurnPercent3
feca91db BurnPercent3Postfix
4f4c53a2 BurnPercent3Prefix
3dad0a0a BurnPercentHealthDamage
ad5ac97d BurnPercentMax
31eae2a4 BurnPercentMax1
859b5841 BurnPercentMax1Postfix
f07c3b40 BurnPercentMax1Prefix
34eae75d BurnPercentMax2
87a433a BurnPercentMax2Postfix
a484d041 BurnPercentMax2Prefix
5e34e95f BurnPercentMaxNL
b7475183 BurnPercentMin
37459b36 BurnPercentMin1
4efcd8a3 BurnPercentMin1Postfix
b083028a BurnPercentMin1Prefix
364599a3 BurnPercentMin2
86bd398 BurnPercentMin2Postfix
9bdefab7 BurnPercentMin2Prefix
5f2629a1 BurnPercentMinNL
b1b1704b BurnPercentNL
1f5efa19 BurnSecondsPerTick
8800a9cb BurnSourcesNeeded
1463118c BurnVamp
50722f91 BurnlockoutDuration
ea54fe59 BurrowedAPRatio
20239bf2 BurrowedAoE
d92d5393 BurrowedBaseDamage
845aa806 BurrowedBaseDamage1
8ffe6e93 BurrowedBaseDamage1Postfix
fa01e37a BurrowedBaseDamage1Prefix
835aa673 BurrowedBaseDamage2
ccd30e08 BurrowedBaseDamage2Postfix
ccc98967 BurrowedBaseDamage2Prefix
825aa4e0 BurrowedBaseDamage3
9649631d BurrowedBaseDamage3Postfix
827d547c BurrowedBaseDamage3Prefix
895aafe5 BurrowedBaseDamage4
aa14b842 BurrowedBaseDamage4Postfix
b2125be9 BurrowedBaseDamage4Prefix
885aae52 BurrowedBaseDamage5
c45ac32f BurrowedBaseDamage5Postfix
7d1e96b6 BurrowedBaseDamage5Prefix
c797d8b1 BurrowedBaseDamageNL
a011b9ae BurrowedBonusADRatio
57ae0b0e BurrowedCooldown
50e749e9 BurrowedDebuffDuration
1ac6eae5 BurrowedMoveSpeed
fb23abbc BurrowedMoveSpeed1
519a9319 BurrowedMoveSpeed1Postfix
32724bb8 BurrowedMoveSpeed1Prefix
fe23b075 BurrowedMoveSpeed2
3ee29372 BurrowedMoveSpeed2Postfix
dab92a19 BurrowedMoveSpeed2Prefix
fd23aee2 BurrowedMoveSpeed3
20b9c99f BurrowedMoveSpeed3Postfix
54627366 BurrowedMoveSpeed3Prefix
f823a703 BurrowedMoveSpeed4
34d43478 BurrowedMoveSpeed4Postfix
a14d2217 BurrowedMoveSpeed4Prefix
f723a570 BurrowedMoveSpeed5
2343e74d BurrowedMoveSpeed5Postfix
19fd10ec BurrowedMoveSpeed5Prefix
2a725187 BurrowedMoveSpeedNL
be14fe3 BurstAPRatio
333031a5 BurstAfter
720a0958 BurstBonusTrueDamageToChamps
693d018c BurstDamage
7ac3b5b3 BurstDurationCheck
88ee3f04 BurstRequirement
93d83c1c BurstSpeed
a68f1b55 ButterflyDamage
97481e6c ButterflyDamage1
ae7bd829 ButterflyDamage1Postfix
d37e4f48 ButterflyDamage1Prefix
9a482325 ButterflyDamage2
649a7682 ButterflyDamage2Postfix
805bc829 ButterflyDamage2Prefix
99482192 ButterflyDamage3
2628446f ButterflyDamage3Postfix
5dc3cf6 ButterflyDamage3Prefix
2821c4f7 ButterflyDamageNL
6c905ed8 CAST_TIME_AND_COOLDOWN
a4f27181 CAST_VARS
79f5f843 CCAttachLockout
86969d8f CCCarryOverRatio
e3342477 CCDuration
f1151a32 CCDuration1
c7503f8f CCDuration1Postfix
fb0b5496 CCDuration1Prefix
f015189f CCDuration2
f9316fa4 CCDuration2Postfix
a02b3033 CCDuration2Prefix
ef15170c CCDuration3
78c1bd49 CCDuration3Postfix
1c2c89e8 CCDuration3Prefix
ee151579 CCDuration4
f9341a96 CCDuration4Postfix
6315290d CCDuration4Prefix
ed1513e6 CCDuration5
acdd30f3 CCDuration5Postfix
c93e6b5a CCDuration5Prefix
edf5c5ff CCDurationMax
dbe221f1 CCDurationMin
e3c87f95 CCDurationNL
b8854232 CCImmuneDuration
2053c378 CCRange
e4324703 CCStorageRatio
e24073ba CCTime
5b299902 CD
3ae11fc9 CDBetweenCast
cd162b17 CDCalc
488ca36 CDChunkPerStack
f449fbcc CDIfPickedUp
f1b7a965 CDNewValue
d81f8f3c CDNewValue1
bd4a199 CDNewValue1Postfix
b5731338 CDNewValue1Prefix
db1f93f5 CDNewValue2
f91ca1f2 CDNewValue2Postfix
5db9f199 CDNewValue2Prefix
da1f9262 CDNewValue3
daf3d81f CDNewValue3Postfix
d7633ae6 CDNewValue3Prefix
d51f8a83 CDNewValue4
ef0e42f8 CDNewValue4Postfix
244de997 CDNewValue4Prefix
d41f88f0 CDNewValue5
dd7df5cd CDNewValue5Postfix
9cfdd86c CDNewValue5Prefix
8af97407 CDNewValueNL
f27c8b50 CDR
3341d48c CDRAmount
e0f99380 CDRCapIncrease
3b6ca25e CDROnHit
38088a3f CDRPerAttack
b8194523 CDRPerBlightStack
7958527f CDReduction
99dc5b97 CDReductionModNonChamp
77b934c CDReductionOn3Hit
717ab69b CDReductionOnHit
e06ea69b CDReductionPerEliminatedTeam
ec7adb2f CDReductionPerHit
9a63f048 CDRefund
84538e7b CDRefund1
cdd1ba30 CDRefund1Postfix
3e12f18f CDRefund1Prefix
8553900e CDRefund2
23cfbcbb CDRefund2Postfix
9950c902 CDRefund2Prefix
865391a1 CDRefund3
b84984de CDRefund3Postfix
af77f5d5 CDRefund3Prefix
87539334 CDRefund4
3b14bdb1 CDRefund4Postfix
6ccfdfb0 CDRefund4Prefix
885394c7 CDRefund5
bab2714c CDRefund5Postfix
c32333db CDRefund5Prefix
7f9bac0d CDRefundBase
46e915ff CDRefundChampion
63bb7c1a CDRefundNL
73fc99a9 CDRefundOnBounce
46363ac6 CDRefundOnHit
bb7ca59 CDRefundPercent
2820caeb CDRefundUrf
5bbd28b5 CDReset
d1d1bdb4 CDResetTime
72953344 CDWheninterrupted
8a87d26a CURRENTDATA
4c16c6c0 CageDelay
cc1f0129 CalamityAPRatio
2cfc9283 CalamityBaseDamage
7bd6ef8d CalamitySizeBonus
c216149a CalamityStacks
2cf592a CalcValueC
fdcf514b CalcValueD
16cdf8c2 Calc_AF
3cddad9 Calc_AS
d7bd4102 Calc_AdaptiveForce
a060306e Calc_Arrow_Damage
1e9b7315 Calc_Attack_Speed
b35447ff Calc_Base_Heal
85edcc8c Calc_Bonus_Armor
91d3acc7 Calc_Bonus_Health
db8f0776 Calc_Bonus_MR
7755186c Calc_CDR
c4c1a8c1 Calc_Cooldown_Acceleration
7536985c Calc_Cooldown_Acceleration_Maximum
c91fac52 Calc_Crit_Chance
edf4ef00 Calc_Crit_Damage_Per_Shot
fd4d70e5 Calc_Crit_Threshold
12cfcbfc Calc_Damage
b5a41939 Calc_Damage_1_Max
75c5ee3b Calc_Damage_1_Min_Ratio
296323d7 Calc_Damage_1_Percent_Max
4ed5303c Calc_Damage_2_Max
1753b716 Calc_Damage_2_Min_Ratio
2a2f76ca Calc_Damage_2_Percent_Max
c794897d Calc_Damage_Amp
6e4f85a6 Calc_Damage_Flat
6a5c1e89 Calc_Damage_High
84d65e87 Calc_Damage_Initial
6b002495 Calc_Damage_Low
ba70caf5 Calc_Damage_Monster_Flat_Bonus
67c80d30 Calc_Damage_Monster_Percent_Cap
d1c44fed Calc_Damage_Per_Second
b12f97e5 Calc_Damage_Per_Shot
6b74500e Calc_Damage_Reduction
9d0df792 Calc_Damage_Spread
a8fc89dc Calc_Defenses
dcdc2493 Calc_Detonation_Efficacy
93257a1e Calc_Dragon_Damage
136a56eb Calc_Dragon_Form_Damage
af406daa Calc_Drain_Per_Second
accae6f3 Calc_Drain_Per_Second_Non_Combat
31e71824 Calc_Execute_Threshold
d09974f4 Calc_HS_Amp_Max
ecce0397 Calc_Heal
db8f1217 Calc_Heal_Flat
fa8236f6 Calc_Heal_Max
c6d3894 Calc_Heal_Min
fa5a6992 Calc_HealthDamage
bea6985 Calc_MS
3fafb418 Calc_Magic_Damage
aa5cf752 Calc_Mana_Cost
e691becc Calc_Max_Coins_To_Drop
a90da5f4 Calc_Max_Health_Damage
bb85c3b6 Calc_Max_Health_Dragon_Damage
389419d8 Calc_Max_Health_Monster_Maximum
57e0cb52 Calc_Max_Health_Monster_Minimum
65333142 Calc_MinimumDamage
f943ee4e Calc_Minion_Damage_Mod
3a99b92e Calc_Minion_Execute_Amp
f44ed223 Calc_Minion_Execute_Threshold
f468ef05 Calc_Missing_Health_Heal
d9c290a2 Calc_MonsterCapDamage
42c9fc79 Calc_Monster_Bonus
79f4f43b Calc_MoveSpeed
341e28a8 Calc_Move_Speed
f7147c47 Calc_Move_Speed_Enhanced
8ab86ee9 Calc_Move_Speed_Max
ff31d3c2 Calc_Multihit_Efficacy
8ad77f0c Calc_Omnivamp
ce7c3fd7 Calc_OnHit_Damage
b41b2357 Calc_OnHit_Damage_Flat
5a47459d Calc_OnHit_Energy_Refund
b93cde26 Calc_Passive_Damage
d55bf040 Calc_Per_Target_Cooldown
dfb0e14c Calc_Physical_Damage
1fa3aaf0 Calc_RW_Cooldown_Reduction
21a86d0d Calc_Remnant_Healing
c23624c0 Calc_Resists
14bf89a4 Calc_Revive_Max_Health
cd528964 Calc_Shield
3af62e84 Calc_Shield_Per_Nearby_Champion
f1ecb060 Calc_Size
e2e36abc Calc_Slow
300db355 Calc_Slow_Amount
a428c732 Calc_Slow_Dragon
17b304fd Calc_Stack_Damage
ff4e3458 Calc_Style_MS_Per_Stack
26939dda Calc_TT_Ult_Damage_Amp
e303168c Calc_Tenacity
32031515 Calc_Tier1_ExplosionDamage
b73ca4b9 Calc_Vamp
2a00b43c CalculatedDamage
7c9d4b13 CalibrumRMarkBonusDamage
4d9d4686 CalibrumRMarkBonusDamage1
75c5d613 CalibrumRMarkBonusDamage1Postfix
a33b8dfa CalibrumRMarkBonusDamage1Prefix
4c9d44f3 CalibrumRMarkBonusDamage2
b29a7588 CalibrumRMarkBonusDamage2Postfix
760333e7 CalibrumRMarkBonusDamage2Prefix
4b9d4360 CalibrumRMarkBonusDamage3
7c10ca9d CalibrumRMarkBonusDamage3Postfix
2bb6fefc CalibrumRMarkBonusDamage3Prefix
1b775c31 CalibrumRMarkBonusDamageNL
8d3ec36e CalloutThreshold
84fcfb1c CameraHoldRatioMax
7310667e CameraHoldRatioMin
8e133a99 CamoDuration
ed0bd367 CamoRadius
38d67528 CampMSDuration
f135454f CampName
189894dd CanBonusDamageCrit
70168ce CancelCDRefund
999792be CancelCooldown
5c361789 CanceledRefundTime
792b9771 CannisterDistanceAway
f5cfb1a4 CannisterDropHealthLoss
1cbec863 CannisterGroundDuration
12eba9e1 CannisterMaxAngle
a006b84e CannisterPickupRadius
2d9b6d1b CannonDelay
70c8ec0d CannonInterval
8ae8eac1 CannonRangeIncrease
e3fb9d35 CannonStacks
e5495901 CapAPAdd
78ea253 CapMRAdd
4e694589 CapstoneAPPerc
fff5a318 CapstoneAllyBonusLives
490c72ae CapstoneBoostPerProc
60cf37d9 CapstoneBuffDuration
c6c2af4 CapstoneMS
c6be8d69 CapstoneMaxHealPercent
9d03fbd CapturePoint
e24014aa CarryDistancePerStack
17292f5b CarrySpeed
8613c434 CarrySpeedNoWall
80377eb0 CarrySpeedRatioMax
9624199a CarrySpeedRatioMin
d82db4ef CarrySpeedUnderstatedNoWall
4c71b998 Cast1Damage
14114ef9 Cast2DamageMax
5fdb137 Cast2DamageMin
8d0404e8 CastADPercent
d653a19b CastADPercent1
fbfc4d0 CastADPercent1Postfix
fd8772af CastADPercent1Prefix
d753a32e CastADPercent2
b7a6fc5b CastADPercent2Postfix
2f0acf22 CastADPercent2Prefix
d853a4c1 CastADPercent3
8b8c4c7e CastADPercent3Postfix
2e5faff5 CastADPercent3Prefix
59d932ba CastADPercentNL
43f797f CastBuffDuration
1e82680d CastCount
fe13d301 CastDelay
5f48b73c CastForgivenessRange
de0260c0 CastIDLockout
1b9cbd9b CastRange
21be929e CastRange1
2f4f4b2b CastRange1Postfix
4e8d8b2 CastRange1Prefix
20be910b CastRange2
84edaaa0 CastRange2Postfix
987aab7f CastRange2Prefix
1fbe8f78 CastRange3
1b10eb35 CastRange3Postfix
6b6f28b4 CastRange3Prefix
26be9a7d CastRange4
bdbc7dda CastRange4Postfix
d2366561 CastRange4Prefix
25be98ea CastRange5
99d2b187 CastRange5Postfix
a6243d0e CastRange5Prefix
24be9757 CastRange6
c8f3d6bc CastRange6Postfix
74288c4b CastRange6Prefix
592fcf8b CastRangeAmp
6f32347e CastRangeGenerosity
f3bacaf9 CastRangeNL
a1969aba CastRangePerStack
709faeb CastRangeRadiusCheck
66257047 CastTime
cac47b4a CastTimePerBullet
ebb2d372 Cast_Delay
8b5ceed1 Cast_Radius
b93353d4 Cast_Time_Attack_Speed_Cap
7379d3a5 Cast_Time_Attack_Speed_Cap_Empowered
12aa59e2 Cast_Time_Base
1e22c4e3 Cast_Time_Base_Empowered
6b4cf859 Cast_Time_Min
d86f9598 Cast_Time_Min_Empowered
a91240b0 Cast_Windup
ceeb951e CastsToProc
5b8de9f7 Catch_Gold
b7873cbb CenterBonusMagicDamage
73e44d3e CenterBonusMagicDamage1
667d954b CenterBonusMagicDamage1Postfix
879aa252 CenterBonusMagicDamage1Prefix
72e44bab CenterBonusMagicDamage2
be94cac0 CenterBonusMagicDamage2Postfix
1b2c751f CenterBonusMagicDamage2Prefix
71e44a18 CenterBonusMagicDamage3
a79c3055 CenterBonusMagicDamage3Postfix
2851cd54 CenterBonusMagicDamage3Prefix
a51f3019 CenterBonusMagicDamageNL
a93d78a5 ChainADMult
ffc4d0fc ChainADMult1
9df29e59 ChainADMult1Postfix
31c2b6f8 ChainADMult1Prefix
2c4d5b5 ChainADMult2
1ac874b2 ChainADMult2Postfix
d74ae459 ChainADMult2Prefix
1c4d422 ChainADMult3
fc9e17df ChainADMult3Postfix
b66d4a6 ChainADMult3Prefix
355df347 ChainADMultNL
6ecd0e86 ChainADRatio
df0f1421 ChainCadence
887fd4e5 ChainCount
d3c8b33 ChainDamage
c38dd5da ChainDuration
73066b98 ChainHeal
e4ec133 ChainHealMaxTOOLTIPunused
6ca17705 ChainHealMinTOOLTIPunused
fa8ad73d ChainLightningDamage
21482eca ChainPhysicalDamage
8f3fa283 ChainRange
98acb47b ChainShield
d3723c84 ChainShieldMaxTOOLTIPunused
49304b0a ChainShieldMinTOOLTIPunused
337d737e ChakramPercentAD
5d7c855d ChakramPercentAD1
9a082d3a ChakramPercentAD1Postfix
f997e41 ChakramPercentAD1Prefix
5a7c80a4 ChakramPercentAD2
17294241 ChakramPercentAD2Postfix
5b90e940 ChakramPercentAD2Prefix
5b7c8237 ChakramPercentAD3
8bf4641c ChakramPercentAD3Postfix
b18a122b ChakramPercentAD3Prefix
596a16d4 ChakramPercentADNL
dfa2ec3d ChampCDRefund
57f8dc53 ChampCollideKnockupDuration
b0d6f8c1 ChampCombatTimer
4a26a023 ChampCooldownRefund
2c10f3f3 ChampDamageAPRatio
bce4a5a7 ChampFuryGain
899e50fa ChampHeal
6f392f91 ChampHeal1
a703c0ee ChampHeal1Postfix
16fa7ae5 ChampHeal1Prefix
6c392ad8 ChampHeal2
42088d15 ChampHeal2Postfix
cc61af14 ChampHeal2Prefix
6d392c6b ChampHeal3
ac7eb780 ChampHeal3Postfix
4d3764df ChampHeal3Prefix
7239344a ChampHeal4
6f7a8967 ChampHeal4Postfix
8499de6e ChampHeal4Prefix
733935dd ChampHeal5
53f73aba ChampHeal5Postfix
dcecaac1 ChampHeal5Prefix
117ceab0 ChampHealNL
d1d81a46 ChampHealing
fd7e279f ChampHealingPercent
f7c4cb80 ChampHitHasteDuration
ad6809b0 ChampHitMSBonus
dc31f251 ChampHitMSDuration
389d3f3c ChampKillAmount
15e36eec ChampKnockbackRange
278b3fc3 ChampName
f23d807b ChampProcAoE
e783c9be ChampProcDPSMultiplier
21477c6f ChampPushDistance
56b3f555 ChampRange
8f18d432 ChampRefund
4715c0b9 ChampRefund1
af0d1d6 ChampRefund1Postfix
2c051d4d ChampRefund1Prefix
4415bc00 ChampRefund2
d7320dbd ChampRefund2Postfix
dff3ca9c ChampRefund2Prefix
4515bd93 ChampRefund3
cbd434a8 ChampRefund3Postfix
fdff5b87 ChampRefund3Prefix
4a15c572 ChampRefund4
c6b72bcf ChampRefund4Postfix
3f0fbad6 ChampRefund4Prefix
4b15c705 ChampRefund5
e88166e2 ChampRefund5Postfix
