200c87a0 %
bd5dd88c ADLineDamage2Postfix
1357b71b ADLineDamage2Prefix
6c061a74 ADLineDamage3
60f172f1 ADLineDamage3Postfix
aa1dc6f0 ADLineDamage3Prefix
2bf79b0d ADLineDamageNL
aba7c6c ADMod
4091c667 ADMod1
5c1bd16c ADMod1Postfix
aef8e67b ADMod1Prefix
4191c7fa ADMod2
2a804337 ADMod2Postfix
1b3e713e ADMod2Prefix
4291c98d ADMod3
9990b68a ADMod3Postfix
9fc48e91 ADMod3Prefix
ad9a097e ADModNL
fcfce396 ADMult
e91a5fe5 ADMult1
de464842 ADMult1Postfix
36548be9 ADMult1Prefix
e61a5b2c ADMult2
3ab78fe9 ADMult2Postfix
3828dc08 ADMult2Prefix
e71a5cbf ADMult3
b30844 ADMult3Postfix
d2f9ce53 ADMult3Prefix
7c4d134c ADMultNL
36c9d82a ADNL
779aafdb ADPerAS
cc09554f ADPerGigaDog
b0b1955a ADPerGigaDog1
f0182117 ADPerGigaDog1Postfix
d5e0589e ADPerGigaDog1Prefix
afb193c7 ADPerGigaDog2
c67f764c ADPerGigaDog2Postfix
69993adb ADPerGigaDog2Prefix
aeb19234 ADPerGigaDog3
46e1c2b1 ADPerGigaDog3Postfix
1345e6b0 ADPerGigaDog3Prefix
5ea7204d ADPerGigaDogNL
d3bc9e0c ADPerLegendary
8f119cd7 ADPerPackmate
1eb9fe12 ADPerPackmate1
1e8975ef ADPerPackmate1Postfix
e3db3576 ADPerPackmate1Prefix
1db9fc7f ADPerPackmate2
8004f904 ADPerPackmate2Postfix
357bee13 ADPerPackmate2Prefix
1cb9faec ADPerPackmate3
a6dd09a9 ADPerPackmate3Postfix
b17d47c8 ADPerPackmate3Prefix
de5b9df5 ADPerPackmateNL
8130678d ADPerRank
f1d43b01 ADPerStack
619bce2f ADPerStatue
e7b48421 ADPerStatueMelee
983ce404 ADPerStatueRange
bc3d5e29 ADPercent
6c9b1fc8 ADPercent1
817402a5 ADPercent1Postfix
c9f062e4 ADPercent1Prefix
6f9b2481 ADPercent2
c8e6123e ADPercent2Postfix
868e20b5 ADPercent2Prefix
6e9b22ee ADPercent3
b28bf61b ADPercent3Postfix
c1b850e2 ADPercent3Prefix
9ea7550b ADPercentNL
382d671b ADRatio
6a5af75 ADRatio.-1
9979671e ADRatio1
465ba4ab ADRatio1Postfix
4b290932 ADRatio1Prefix
9879658b ADRatio2
9bfa0420 ADRatio2Postfix
debadbff ADRatio2Prefix
977963f8 ADRatio3
321d44b5 ADRatio3Postfix
b1af5934 ADRatio3Prefix
9e796efd ADRatio4
d4c8d75a ADRatio4Postfix
187695e1 ADRatio4Prefix
9d796d6a ADRatio5
b0df0b07 ADRatio5Postfix
ec646d8e ADRatio5Prefix
6965dfde ADRatioBonus
98cecc0 ADRatioFirstSlash
71cf0419 ADRatioForAOE
6a5c7033 ADRatioMax
71845326 ADRatioMax1
8f78633 ADRatioMax1Postfix
eb14199a ADRatioMax1Prefix
70845193 ADRatioMax2
426f50a8 ADRatioMax2Postfix
11594f87 ADRatioMax2Prefix
6f845000 ADRatioMax3
4dcd29bd ADRatioMax3Postfix
f34dbe9c ADRatioMax3Prefix
76845b05 ADRatioMax4
5f1c82e2 ADRatioMax4Postfix
f6a3b509 ADRatioMax4Prefix
75845972 ADRatioMax5
3d5247cf ADRatioMax5Postfix
5269aed6 ADRatioMax5Prefix
2fd751 ADRatioMaxNL
80701a8d ADRatioMin
ec7a15f4 ADRatioMin1
828b0971 ADRatioMin1Postfix
415e670 ADRatioMin1Prefix
ef7a1aad ADRatioMin2
5b66532a ADRatioMin2Postfix
4b34e2b1 ADRatioMin2Prefix
ee7a191a ADRatioMin3
9ce3edd7 ADRatioMin3Postfix
f2e3a95e ADRatioMin3Prefix
e97a113b ADRatioMin4
5ee0fcf0 ADRatioMin4Postfix
a659a34f ADRatioMin4Prefix
e87a0fa8 ADRatioMin5
665fd305 ADRatioMin5Postfix
e2910dc4 ADRatioMin5Prefix
de90fc6f ADRatioMinNL
eed75079 ADRatioNL
8b99d4d6 ADRatioPerSecond
ecb4e82f ADRatioPerTick
bec9673a ADRatioPerTick1
9d955477 ADRatioPerTick1Postfix
270f4c7e ADRatioPerTick1Prefix
bdc965a7 ADRatioPerTick2
b369c4ac ADRatioPerTick2Postfix
e7073fbb ADRatioPerTick2Prefix
bcc96414 ADRatioPerTick3
aed4c311 ADRatioPerTick3Postfix
8e398290 ADRatioPerTick3Prefix
bbc96281 ADRatioPerTick4
ae84dc3e ADRatioPerTick4Postfix
d35a6eb5 ADRatioPerTick4Prefix
bac960ee ADRatioPerTick5
982ac01b ADRatioPerTick5Postfix
e849ee2 ADRatioPerTick5Prefix
af641d2d ADRatioPerTickNL
34708314 ADRatioSecondHit
2c8656b ADRatioTT
bb778cae ADRatioTT1
d646ecdb ADRatioTT1Postfix
43c36ca2 ADRatioTT1Prefix
ba778b1b ADRatioTT2
2e5fb550 ADRatioTT2Postfix
1240102f ADRatioTT2Prefix
b9778988 ADRatioTT3
5fa33365 ADRatioTT3Postfix
223869a4 ADRatioTT3Prefix
c077948d ADRatioTT4
5d2bf8a ADRatioTT4Postfix
32240191 ADRatioTT4Prefix
bf7792fa ADRatioTT5
96c24c37 ADRatioTT5Postfix
ad9de43e ADRatioTT5Prefix
5f8bc9 ADRatioTTNL
2a931d1a ADRatioTooltip
b890a4c9 ADReduction
83b3b268 ADReduction1
d05a81c5 ADReduction1Postfix
e0c56e84 ADReduction1Prefix
86b3b721 ADReduction2
1788495e ADReduction2Postfix
44aaef55 ADReduction2Prefix
85b3b58e ADReduction3
830e813b ADReduction3Postfix
2e83c282 ADReduction3Prefix
88b3ba47 ADReduction4
19f135cc ADReduction4Postfix
58562d5b ADReduction4Prefix
87b3b8b4 ADReduction5
9a538231 ADReduction5Postfix
202d930 ADReduction5Prefix
59188dab ADReductionNL
8b2fd636 ADReductionPercent
234ded05 ADReductionPercent1
b336a8e2 ADReductionPercent1Postfix
fc90b709 ADReductionPercent1Prefix
204de84c ADReductionPercent2
7ae10089 ADReductionPercent2Postfix
a86b7b28 ADReductionPercent2Prefix
214de9df ADReductionPercent3
80466de4 ADReductionPercent3Postfix
71f5e773 ADReductionPercent3Prefix
fb756aec ADReductionPercentNL
1f839025 ADRequiredFor1PercentDamage
8126d356 ADRequiredTooltipOnly
e476601d ADScaling
d2596544 ADScaling1
e042761 ADScaling1Postfix
1d296ee0 ADScaling1Prefix
d55969fd ADScaling2
7797f05a ADScaling2Postfix
ea7eb8e1 ADScaling2Prefix
d459686a ADScaling3
53ae2407 ADScaling3Postfix
be6c908e ADScaling3Prefix
cf59608b ADScaling4
3ec91d20 ADScaling4Postfix
b0c2feff ADScaling4Prefix
ce595ef8 ADScaling5
d4ec5db5 ADScaling5Postfix
83b77c34 ADScaling5Prefix
4d6aedff ADScalingNL
c70506f1 ADSpellRatio
ce9a040 ADSpellRatio1
7c6b5afd ADSpellRatio1Postfix
752a90dc ADSpellRatio1Prefix
fe9a4f9 ADSpellRatio2
2daecd16 ADSpellRatio2Postfix
6c93c8d ADSpellRatio2Prefix
ee9a366 ADSpellRatio3
e157e373 ADSpellRatio3Postfix
6cf27eda ADSpellRatio3Prefix
817537f3 ADSpellRatioNL
cf902c03 ADSteal
f1f592b6 ADSteal1
c3f68323 ADSteal1Postfix
3af73e0a ADSteal1Prefix
f0f59123 ADSteal2
7d657e18 ADSteal2Postfix
26533637 ADSteal2Prefix
eff58f90 ADSteal3
c133beed ADSteal3Postfix
7ed7a0c ADSteal3Prefix
c228c821 ADStealNL
2e7497ff ADSwipeDamage
ef8af94a ADSwipeDamage1
1a72b067 ADSwipeDamage1Postfix
b7357b6e ADSwipeDamage1Prefix
ee8af7b7 ADSwipeDamage2
f0db989c ADSwipeDamage2Postfix
b178dbab ADSwipeDamage2Prefix
ed8af624 ADSwipeDamage3
7c1076c1 ADSwipeDamage3Postfix
5b7fb2c0 ADSwipeDamage3Prefix
3f2f24fd ADSwipeDamageNL
81b63026 ADWhileDragon
48cdb435 ADWhileDragon1
d5f09c32 ADWhileDragon1Postfix
6518ced9 ADWhileDragon1Prefix
45cdaf7c ADWhileDragon2
591ac5d9 ADWhileDragon2Postfix
bf90a178 ADWhileDragon2Prefix
46cdb10f ADWhileDragon3
f5d93ab4 ADWhileDragon3Postfix
eb445d83 ADWhileDragon3Prefix
f34be4dc ADWhileDragonNL
e3276621 ADfromAP
4d8527c ADtoAD
5a368b0 AFAmp
613d8313 AFAmp1
454cd928 AFAmp1Postfix
53bcf507 AFAmp1Prefix
623d84a6 AFAmp2
